Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
nih_blind,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_memory,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_walk_climb,Do you have serious difficulty walking or climbing stairs?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_dress_bathe,Do you have difficulty dressing or bathing?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_errand,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Disability Status
nih_vaping_yn,Vaping use (Yes or No),,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_nicotine_yn,Nicotine use (Yes or No),,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_vape_freq,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,int,,,"""0""=[Not at all] |""1""=[Rarely] |""2""=[Some Days] |""3""=[Every Day] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cig_smoke_freq,Nicotine Frequency: Do you now smoke cigarettes?,,int,,,"""0""=[Not at all] |""1""=[Rarely] |""2""=[Some Days] |""3""=[Every Day] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_smoking_yn,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_history_smoking,History of Smoking,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_tobacco,Tobacco Use,,int,,,"""0""=[No tobacco use] |""1""=[Current Tobacco user] |""2""=[Former Tobacco User] |""98""=[Don't Know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_alcohol_yn,Alcohol use (Yes or No),,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_lifetime_use_alcohol,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (Yes or No)",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_alcohol_yrs,How often did you have a drink containing alcohol in the past year?,,int,,,"""0""=[Never] |""1""=[Monthly Or Less] |""2""=[Two To Four Times Per Month] |""3""=[Two To Three Times Per Week] |""4""=[Four Or More Times Per Week] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_alcohol_frequency,How often did you have a drink containing alcohol ?,,int,,,"""0""=[Never] |""1""=[Monthly Or Less] |""2""=[Two To Four Times Per Month] |""3""=[Two To Three Times Per Week] |""4""=[Four Or More Times Per Week] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_asthma,Asthma,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cancer,Cancer,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cancer_active_treatment,Cancer (including leukemia or lymphoma) undergoing active treatment?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cancer_past_yr,Cancer diagnosis and/or treatment within the past 12 months,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cardiovascular_disease,Cardiovascular disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chronic_kidney_disease,Chronic kidney disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chronic_kidney_disease_treatment,Chronic kidney disease treatment,,int,,,"""0""=[No] |""1""=[Yes,But Not On Dialysis] |""2""=[Yes And On Dialysis] |""3""=[Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal] |""77""=[Don't Know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chronic_lung_disease,Chronic lung disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_diabetes,Diabetes,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_hypertension,Hypertension,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_immunosuppressive_condition,Immunosuppressive condition,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_serious_mental_illness,Serious mental illness,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_mental_health_disorder,Mental health disorder ,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_sickle_cell_disease,Sickle cell disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_pregnancy,Pregnancy status,,int,,,"""0""=[Not Pregnant] |""1""=[Pregnant] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_immunocompromised,Immunocompromised condition,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_autoimm,Autoimmune disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_copd,Chronic obstructive pulmonary disease (COPD),,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chronic_lung,Other chronic lung disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_depression,Depression,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_alc_sub_abuse,Alcohol or substance use disorder,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_iv_drug_use,Intravenous drug use,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_othermh,Other mental health disorder,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_other_chronic_cond,Other chronic condition,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_coronary_artery_disease,Coronary artery disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_coronary_artery_disease_angina,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_heart_attack,A heart attack (myocardial infarction)?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chf,"Congestive Heart failure (CHF, Heart Failure)?",,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_immunodeficiency,Immunodeficiency (NOT including HIV)?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_hiv,Chronic HIV infection?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_premature_birth,History of premature birth (being born before 37 weeks of pregnancy),,int,,,"""0""=[No] |""1""=[Yes, Between 32 - 37 Weeks] |""2""=[Yes, Between 28-32 Weeks] |""3""=[Yes, Less Than 28 Weeks] |""4""=[Yes, But Not Sure How Many Weeks] |""77""=[Dont Know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_chd,Chronic Heart Disease,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
nih_cf,Cystic Fibrosis,,int,,,"""0""=[No] |""1""=[Yes] |""97""=[Other] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",Concept: Medical History
